State,Year,Data.Population,Data.Rates.Property.All,Data.Rates.Property.Burglary,Data.Rates.Property.Larceny,Data.Rates.Property.Motor,Data.Rates.Violent.All,Data.Rates.Violent.Assault,Data.Rates.Violent.Murder,Data.Rates.Violent.Rape,Data.Rates.Violent.Robbery,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery,Rate.Unemployment
Illinois,1960,10081158,1976.8,577.7,1045.7,353.3,365.1,133.8,4.9,17.6,208.8,199283,58241,105423,35619,36802,13492,489,1773,21048,
Illinois,1961,10258000,2082.3,586.9,1140.6,354.8,362.2,135.7,4.8,17.2,204.5,213602,60204,117006,36392,37156,13920,492,1767,20977,
Illinois,1962,10146000,2162.4,555.7,1235,371.7,383.7,158.3,5.3,18.6,201.5,219393,56377,125306,37710,38926,16063,537,1884,20442,
Illinois,1963,10182000,2255,541.3,1332.1,381.6,330.3,122.7,5.1,13.9,188.5,229605,55117,135634,38854,33627,12495,523,1416,19193,
Illinois,1964,10489000,2333.4,547.4,1380.3,405.7,351.9,149.2,5.5,15,182.3,244754,57416,144783,42555,36916,15652,572,1569,19123,
Illinois,1965,10644000,2223.2,550.2,1293.1,379.9,322.7,136.7,5.2,16,164.7,236638,58566,137634,40438,34345,14553,551,1706,17535,
Illinois,1966,10722000,2394.4,560.5,1418.6,415.3,364.8,156.4,6.9,16.6,184.9,256731,60099,152102,44530,39116,16770,745,1777,19824,
Illinois,1967,10893000,2516.2,608.5,1486.1,421.7,394.3,168.3,7.3,17.9,200.9,274089,66282,161876,45931,42956,18331,793,1953,21879,
Illinois,1968,10974000,2829.8,683.6,1705.2,441,408,172,8.1,16.4,211.5,310546,75013,187133,48400,44776,18876,893,1798,23209,
Illinois,1969,11047000,3020,738.7,1806.8,474.5,448.5,184,8.6,19.1,236.7,333618,81602,199600,52416,49543,20327,950,2113,26153,
Illinois,1970,11113976,3311.6,765.4,2028.4,517.8,467.9,186.8,9.6,20.4,251.1,368055,85067,225437,57551,52006,20762,1066,2270,27908,
Illinois,1971,11196000,3408.1,836.7,2095.6,475.8,477.3,187.9,9.6,21.6,258.1,381567,93682,234618,53267,53436,21039,1079,2418,28900,
Illinois,1972,11251000,3283.1,846.1,1994,443,508.1,215.9,8.8,23.3,260.1,369377,95190,224344,49843,57162,24287,985,2623,29267,
Illinois,1973,11236000,3769.1,1025.1,2236.2,507.7,555.9,248.7,10.4,24,272.8,423492,115183,251263,57046,62457,27949,1163,2694,30651,
Illinois,1974,11131000,4557.1,1264.2,2761.5,531.4,627.1,274.2,11.8,27.7,313.4,507254,140717,307382,59155,69806,30523,1319,3082,34882,
Illinois,1975,11145000,5033.2,1409.7,3030,593.5,670.2,308.1,10.6,25.7,325.8,560955,157110,337698,66147,74699,34343,1179,2869,36308,
